pk,title,overview,release_date,poster_path,vote_average,popularity,key
11,메간,"교통사고로 부모를 잃고 혼자가 된 소녀 ‘케이디’. 로봇 엔지니어이자, ‘케이디’의 보호자가 된 ‘젬마’는 ‘케이디’를 안전하게 지켜야 하는 프로그램이 입력된 AI 로봇 ‘메간’을 선물한다. 메간은 언제나 ‘케이디’의 곁을 지켜주며 함께 웃고, 힘들 땐 위로해주는 둘도 없는 친구가 된다. 어느 날, ‘케이디’가 위험에 처하자 ‘메간’은 예측할 수 없는 방향으로 업그레이드되며 감당할 수 없는 일들이 벌어지는데…",2022-12-28,/v0TtgXaZZ6NeDxKackgQK9byEDL.jpg,7.3,274.906,NyRLKaOucc8
12,스파이더맨: 노 웨이 홈,미스테리오의 계략으로 세상에 정체가 탄로난 스파이더맨 피터 파커는 하루 아침에 평범한 일상을 잃게 된다. 문제를 해결하기 위해 닥터 스트레인지를 찾아가 도움을 청하지만 뜻하지 않게 멀티버스가 열리면서 각기 다른 차원의 불청객들이 나타난다. 닥터 옥토퍼스를 비롯해 스파이더맨에게 깊은 원한을 가진 숙적들의 강력한 공격에 피터 파커는 사상 최악의 위기를 맞게 되는데…,2021-12-15,/voddFVdjUoAtfoZZp2RUmuZILDI.jpg,8,246.9,bG3FmxSTwKw
13,쥬라기 월드: 도미니언,"공룡들의 터전이었던 이슬라 누블라 섬이 파괴된 후,  마침내 공룡들은 섬을 벗어나 세상 밖으로 출몰한다. 지상에 함께 존재해선 안 될 위협적 생명체인 공룡의 등장으로 인류 역사상 겪어보지 못한 사상 최악의 위기를 맞이한 인간들. 지구의 최상위 포식자 자리를 걸고 인간과 공룡의 최후의 사투가 펼쳐진다.",2022-06-01,/odxdUZWZ7fBfy3ZRj063wuJnZvo.jpg,6.8,182.726,DSEfRVqjbFA
14,도라에몽: 스탠바이미,"공부도 꽝, 운동도 꽝, 무얼해도 덜렁대고 소심한 소년 진구.  그런 진구에게 행복한 꿈과 미래를 선물하는 임무를 받고 22세기에서 날아온 최고의 친구, 도라에몽!  대나무 헬리콥터, 어디로든 문, 투명망토, 암기빵, 그리고 타임머신까지!  도라에몽은 온갖 미래의 비밀도구로 오직 진구만을 위한 노력에 나선다.  마지못해 임무를 부여 받고 미래에서 끌려온 도라에몽은 누구보다 착한 마음씨를 지닌 진구와 점차 특별한 우정을 나누게 되지만,  언제까지나 함께할 것 같던 두 단짝에게도 이별의 순간이 찾아오는데..  과연 도라에몽은 진구의 꿈과 행복을 이뤄줄 수 있을까?  우리가 몰랐던 도라에몽의 처음, 그리고 마지막 이야기가 펼쳐진다!",2014-08-08,/q7YdWMCizuWCXsJkP7dQ7ASW7DJ.jpg,7.3,187.504,K4SMJcSyxYk
15,아바타,"가까운 미래, 지구는 에너지 고갈 문제를 해결하기 위해 머나먼 행성 판도라에서 대체 자원을 채굴하기 시작한다. 하지만 판도라의 독성을 지닌 대기로 인해 자원 획득에 어려움을 겪게 된 인류는 판도라의 토착민 나비의 외형에 인간의 의식을 주입, 원격 조종이 가능한 새로운 생명체를 탄생시키는 프로그램을 개발한다. 한편 하반신이 마비된 전직 해병대원 제이크 설리는 아바타 프로그램에 참가할 것을 제안받는다. 그 곳에서 자신의 아바타를 통해 자유롭게 걸을 수 있게 된 제이크는 자원 채굴을 막으려는 나비의 무리에 침투하라는 임무를 부여받는데...",2009-12-15,/zygmx5abXeDpr3fWYX4jlXFZ1wh.jpg,7.6,178.123,O8LkT9rhtjc
16,프레이,"300년 전 아메리카, 용맹한 전사를 꿈꾸는 원주민 소녀 나루는 갑작스러운 곰의 습격으로 절체절명의 위기에 놓인 순간, 정체를 알 수 없는 외계 포식자 프레데터를 목격하게 된다.  자신보다 강한 상대를 향한 무자비한 사냥을 시작한 프레데터. 최첨단 기술과 무기로 진화된 외계 포식자 프레데터의 위협이 점점 다가오고 나루는 부족을 지키기 위해 자신만의 기지와 무기로 생존을 건 사투를 시작하는데…",2022-08-02,/eicYAopFKOL3orcNTJZ4TGtZQQ1.jpg,7.8,148.005,bh1gLq1h_K0
17,가디언즈 오브 갤럭시 홀리데이 스페셜,퀼에게 잊지 못할 크리스마스를 선사하기 위해 가디언즈가 완벽한 선물을 찾아 지구로 향한다.,2022-11-25,/hh1kvVSc1kl3Ub5klMao6Gi5i5Q.jpg,7.3,147.163,6d34iAqrCdM
18,스파이더맨: 뉴 유니버스,"평범한 10대 마일스 모랄레스는 우연히 방사능 거미에 물려 스파이더맨 능력을 가지게 된다. 혼란스러워하던 마일스는 악당과 싸우고 있는 피터 파커를 마주치게 되고 피터 파커는 마일스가 자신과 같은 능력을 가지고 있음을 직감한다. 여러 개의 평행세계가 존재한다는 것을 알게 된 마일스와 피터 파커는 이후 스파이더우먼 스파이더 그웬, 스파이더맨 누아르, 스파이더햄 등 평행세계 속 공존하는 모든 스파이더맨들을 만나게 되는데... 하나의 유니버스에서 만나 팀을 결성한 스파이더맨들은 과연 세계를 구할 수 있을까?",2018-12-14,/vnWgIIEWAvWKOI65tm6h6VRbyY8.jpg,8.4,170.175,vhkCBOsOoYY
19,제미나이: 지구 최후의 날,"치명적인 바이러스로 지구의 식물들이 파괴된 지 3년 후 산소가 부족해지고 과학자들은 전 인류를 구하기 위해 새로운 행성을 찾는 미션을 받고 우주로 떠난다. 하지만, 우주선은 입력한 궤도와는 전혀 다른 방향으로 이끌려가 알 수 없는 행성에 고립되고 비행 멤버들은 상상할 수 없는 존재로부터 공격을 받기 시작하는데…!",2022-01-06,/iVwd4NKcvWIfxP36DsCBHd7lqEE.jpg,5.8,135.937,IDnECGvaLfU
20,메가로돈,"국제 해저 관측 프로그램으로 일환으로 심해를 탐사 중인 해저 탐험대는 정체 모를 거대 생물에게 공격을 당한다. 긴급 투입된 심해 구조 전문가 조나스(제이슨 스타뎀)는 그것이 200만년 전 멸종된 것으로 알려진 ‘메가로돈’임을 주장한다. 아무도 믿으려 하지 않지만, 조나스는 역사상 가장 위대하고 가장 거대한 포식자와 두 번째로 마주하는 것인데…",2018-08-09,/nJW6nWxQh9vq9RHayZFzuRF9ybj.jpg,6.2,117.313,59QwUrmzqgM
21,인터스텔라,"세계 각국의 정부와 경제가 완전히 붕괴된 미래가 다가온다. 지난 20세기에 범한 잘못이 전 세계적인 식량 부족을 불러왔고, NASA도 해체되었다. 나사 소속 우주비행사였던 쿠퍼는 지구에 몰아친 식량난으로 옥수수나 키우며 살고 있다. 거센 황사가 몰아친 어느 날 알 수 없는 힘에 이끌려 딸과 함께 도착한 곳은 인류가 이주할 행성을 찾는 나사의 비밀본부. 이 때 시공간에 불가사의한 틈이 열리고, 이 곳을 탐험해 인류를 구해야 하는 임무를 위해 쿠퍼는 만류하는 딸을 뒤로한 채 우주선에 탑승하는데...",2014-11-05,/zDNAeWU0PxKolEX1D8Vn1qWhGjH.jpg,8.4,118.844,LEEtpP6dkIY
22,문폴,"궤도를 이탈한 달이 지구를 향해 떨어지기 시작하면서 지구의 중력과 모든 물리적인 법칙이 붕괴된다. 거대한 해일과 지진, 화산폭발, 쓰나미와 이상기후까지 상상조차 불가능했던 모든 재난으로 전 세계는 공포와 혼란에 빠진다. 달과 충돌까지 남은 시간은 단 30일. NASA 연구원 파울러, 전직 우주 비행사 브라이언, 그리고 우주 덕후 KC는 달을 막을 방법을 찾기 위해 마지막 우주선에 오른다.",2022-02-03,/2xmJCxrt5t2dFhvwvmxZ5Cy577j.jpg,6.4,112.947,lV8MuZC_-Fo
23,고질라 VS. 콩,"콩과 보호자들은 정착할 수 있는 곳을 찾아 특별하고 강력한 유대감을 형성하고 있는 지아와 함께 여정을 떠나게 된다. 그러던 중 지구 파괴를 위한 회심의 날을 휘두르는 고질라와 마주하게 되고, 보이지 않는 힘에 의해 맞붙게 된 두 전설의 대결은 지구 깊은 곳에 도사린 수수께끼의 시작에 불과할 뿐이었는데…",2021-03-24,/sqo672rKMXiLRC5kVcGvBRebkp.jpg,7.7,110.065,nCEa5M6iUoM
24,어벤져스,"에너지원 큐브를 이용한 적의 등장으로 인류가 위험에 처하자 국제평화유지기구인 쉴드의 국장 닉 퓨리는 어벤져스 작전을 위해 전 세계에 흩어져 있던 슈퍼히어로들을 찾아나선다. 아이언맨부터 토르, 헐크, 캡틴 아메리카는 물론, 쉴드의 요원인 블랙 위도우, 호크 아이까지, 최고의 슈퍼히어로들이 어벤져스의 멤버로 모이게 되지만, 각기 개성이 강한 이들의 만남은 예상치 못한 방향으로 흘러가는데...",2012-04-25,/1uHRkB2Q00Y4i7I7KNd0jGi4OmY.jpg,7.7,99.507,mck3JCl2uwQ
25,스타워즈 에피소드 4: 새로운 희망,"공화국이 붕괴하고 제국이 수립된 뒤 20년, 제다이 기사단은 전멸하고 강력한 제국군의 횡포에 은하계는 공포에 휩싸여 있다. 그러던 중 공화국 재건을 노리는 반란군이 제국군의 비밀병기 데스스타 설계도를 훔쳐 달아나고 제국군은 이를 쫓는다. 하지만 결국 제국의 손에 붙잡히게 된 그들은 드로이드 R2-D2에 설계도를 넣어서 R2의 친구 C-3PO와 탈출시키는 데 성공하고, 두 드로이드 콤비는 타투인의 시골 마을에서 숙부와 함께 살고 있던 청년 루크 스카이워커에게 오게 되는데...",1977-05-25,/7XFfURIFCJxN1mfBg0SAjk5yGzg.jpg,8.2,110.666,XsS1yE2f-hE
26,모비우스,"희귀혈액병을 앓고 있는 생화학자 모비우스는 동료인 마르틴과 함께 치료제 개발에 몰두한다. 흡혈 박쥐를 연구하던 중 마침내 치료제 개발에 성공한 모비우스는 새 생명과 강력한 힘을 얻게 되지만, 동시에 흡혈을 하지 않고는 생명을 유지할 수 없게 된다. 그러던 중 모비우스와 같은 병을 앓고 있던 그의 친구 마일로도 모비우스와 같은 힘을 얻게 되는데…",2022-03-30,/8uiV88A5eB7PjMTtY6lQBUZ0Cpl.jpg,6.2,89.184,Ujcd_fm56ao
27,어벤져스: 엔드게임,"어벤져스의 패배 이후 지구는 초토화됐고 남은 절반의 사람들은 정신적 고통을 호소하며 하루하루를 근근이 버텨나간다. 와칸다에서 싸우다 생존한 히어로들과 우주의 타이탄 행성에서 싸우다 생존한 히어로들이 뿔뿔이 흩어졌는데, 아이언맨과 네뷸라는 우주를 떠돌고 있고 지구에 남아 있는 어벤져스 멤버들은 닉 퓨리가 마지막에 신호를 보내다 만 송신기만 들여다보며 혹시 모를 우주의 응답을 기다리는 중이다. 애초 히어로의 삶을 잠시 내려놓고 가족과 시간을 보내던 호크아이 역시 헤아릴 수 없는 마음의 상처를 입은 채 사라지고 마는데...",2019-04-24,/z7ilT5rNN9kDo8JZmgyhM6ej2xv.jpg,8.3,93.358,ps5F92s7mi4
28,드래곤볼 슈퍼: 슈퍼 히어로,레드리본군은 손오공의 손에 절멸했다. 그러나 레드리본군의 정신을 계속해서 이어받고 있던 몇몇 사람들이 궁극의 인조인간 감마1과 감마2를 만들었다. 이들 두 인조인간은 자신을 ‘슈퍼 히어로즈’라 부른다. 이들이 피콜로와 손오반을 공격하기 시작하는데… 레드리본군의 새로운 목표는 무엇인가?,2022-06-11,/iJIqr4ucD4zLDlxVoGs0iRJkOZw.jpg,7.9,102.45,wHAaKXtfSOg
29,트랜스포머: 최후의 기사,"옵티머스 프라임은 더 이상 인간의 편이 아니다. 트랜스포머의 고향 사이버트론의 재건을 위해 지구에 있는 고대 유물을 찾아나선 옵티머스 프라임은 인류와 피할 수 없는 갈등을 빚고, 오랜 동료 범블비와도 치명적인 대결을 해야만 하는데…  영원한 영웅은 없다!  하나의 세상이 존재하기 위해선 다른 세상이 멸망해야 한다!",2017-06-16,/bLmjP7lUSrwcaID8VnZmrKLETyn.jpg,6.1,88.593,wbzm4jhf4Ak
30,아이언맨 2,"세계 최강의 무기업체를 이끄는 CEO이자, 타고난 매력으로 화려한 삶을 살아가던 토니 스타크. 기자회견을 통해 자신이 아이언맨이라고 정체를 밝힌 이후, 정부로부터 아이언맨 수트를 국가에 귀속시키라는 압박을 받지만 이를 거부한다. 스타크 인더스트리의 운영권까지 수석 비서였던 페퍼 포츠에게 일임하고 히어로로서의 인기를 만끽하며 지내던 토니 스타크. 하지만 그 시각, 아이언맨의 수트 기술을 스타크 가문에 빼앗긴 후 쓸쓸히 돌아가신 아버지의 복수를 다짐해 온 위플래시는 수트의 원천 기술 개발에 성공, 치명적인 무기를 들고 직접 토니 스타크를 찾아 나선다.",2010-04-28,/7rUFYRfYV6c4yXiKBvKWOCRjimc.jpg,6.8,92.46,JtDlKDhP4BY
31,메이즈 러너,"삭제된 기억, 거대한 미로로 둘러싸인 낯선 공간  모든 기억이 삭제된 채 의문의 장소로 보내진 ‘토마스’(딜런 오브라이언).  ‘토마스’는 미로에 갇힌 그곳에서 자신과 같은 상황의 사람들을 만난다.  그들은 매일 밤 살아 움직이는 미로에서 정체를 알 수 없는 죽음의 존재와 대립하며,  지옥으로부터 빠져나갈 탈출구인 지도를 완성해 나간다.  그러던 어느 날, 미로의 문이 열리고 그들은 마지막 선택의 기로에 놓이게 되는데…",2014-09-10,/bL0bBepUCLFcCj2ATFD40FbyDEl.jpg,7.2,92.966,EQWqsdOjvG8
32,사마리탄,"13살의 샘 클리어리(제이번 ‘워너’ 월턴)는 이웃인 수수께끼의 은둔자 스미스(실베스터 스탤론)가 25년 전 사망했다고 알려졌지만 사실은 평범한 사람들 사이에 섞여 사는 전설적인 인물이라고 의심한다. 범죄가 증가하고 도시가 혼란에 빠지자, 샘은 도시가 파괴되는 걸 막기 위해 이웃을 세상 밖으로 이끌려 애쓴다.",2022-08-25,/zgH8Ej50n2cvJCMJrxd4twEwSqz.jpg,6.8,80.242,-dFpz34rNSQ
33,버즈 라이트이어,"나, 버즈 라이트이어. 인류 구원에 필요한 자원을 감지하고 현재 수많은 과학자들과 미지의 행성으로 향하고 있다. 이번 미션은 인류의 역사를 새롭게 쓸 것이라 확신한다. 잘못된 신호였다. 이곳은 삭막하고 거대한 외계 생물만이 살고 있는 폐허의 땅이다. 나의 실수로 모두가 이곳에 고립되고 말았다. 모두를 구하기 위해서 모든 것을 제자리에 돌려 놔야 한다. 실수를 바로잡기 위한 탈출 미션을 위해 1년의 준비를 마쳤다. 어쩌다 한 팀이 된 정예 부대와 이 미션을 수행할 예정이다. 우주를 집어삼킬 저그 황제와 대규모 로봇 군사의 위협이 계속되지만 나는 절대 포기할 수 없다. 그런데... 여긴 또 어디지? 시간 속에 갇힌 건가?",2022-06-15,/oMa5NjFxK8Csp6uVQ0tRuF1pWM5.jpg,7.1,94.416,xTrGcHuD_C4
34,이터널스,"이터널스는 7천년 전 우주선 도모를 타고 지구에 온 순간부터 지구를 사랑한 히어로들이다. 이들의 임무는 기괴한 크리처 데비안츠에게서 인간을 지키는 것. 임무를 부여한 이는 그들을 탄생시킨 천상의 존재 셀레스티얼이다. 이터널스는 시간의 흐름을 느낄 수 없기에, 공간을 기준 삼아 연대기를 구성하는 뱀파이어처럼 세계 곳곳에 흩어져 자신만의 삶을 살아가고 있다. 물질을 변화시키는 세르시는 런던에서 박물관 학자가 됐고, 우주의 기운을 총처럼 쏘는 킹고는 발리우드 배우로 살며, 타인을 조종하는 드루이그는 아마존에 소국을 만들었다. 괴력의 소유자 길가메시는 호주 사막에서 정신 건강이 위험해진 테나를 돌보며 살고 있다. 세르시는 데비안츠의 공세가 심해지자 오랜 연인 이카리스, 소녀처럼 보이는 불멸의 존재 스프라이트와 함께 이터널스를 불러모으기 시작한다.",2021-11-03,/aNtAP8ZzUMdnCPoqYgVOcgI0Eh4.jpg,7,94.831,omidgvTcTcE
35,와이프라이크,"가까운 미래, 암시장에서 인공 인간을 거래하는 범죄자를 추격하고 있는 형사. 인공인간 착취를 끝내기 위해 형사의 죽은 아내로 위장하여 인공인간으로 잠입한다. 전생의 기억이 떠오르기 시작하면서 그녀는 현실에 의문을 품기 시작하는데...",2022-08-12,/tea2gDZPxw0wfKC2S2VRWHagtt4.jpg,7.3,67.919,-5rdRvkG-gQ
36,스파이더맨: 홈커밍,"토니 스타크의 제안을 받고 시빌 워에 참여한 피터 파커는 다음 임무가 언제일지 설렘을 안고 하루하루를 보낸다. 토니는 MIT 진학 준비에 전념할 것을 권하지만 친절한 이웃에 머무는 것은 피터의 성에 차지 않는다. 한편 어벤져스 군단과 외계 세력의 전투로 생긴 산업폐기물을 처리하던 아드리안 툼즈는 그 일이 토니 스타크와 정부에 넘어가면서 하루아침에 빈털터리가 된다. 이에 앙심을 품은 아드리안은 외계 첨단무기를 훔쳐서 개조하는 빌런이 되고, 그의 존재를 알게 된 피터는 도움을 빌리지 않고 자기가 일을 해결해보려고 한다.",2017-07-05,/nS8700DvlmXBVX0UqZZwnCcFB1X.jpg,7.3,87.076,1rRT7mpZkGw
37,DC 리그 오브 슈퍼-펫,악당 렉스 루터의 계략으로 위험에 빠진 슈퍼맨을 비롯한 저스티스 리그의 슈퍼 히어로들을 구하기 위해 슈퍼독 크립토와 슈퍼 펫 친구들이 벌이는 파워 댕댕 모험을 그린 이야기,2022-07-27,/4L7hgezinra0QudLN8HPv8c3af1.jpg,7.4,94.607,X6o9bPZBhUk
38,수퍼 소닉,"소리보다 빠른 초고속 고슴도치 히어로 '소닉'은 지구에 불시착한다. 그의 특별한 능력을 감지한 과학자 ‘닥터 로보트닉’은 세계 정복의 야욕을 채우려 하고, 경찰관 ‘톰’은 위험에 빠진 ‘소닉’을 돕기 위해 나서는데…! 과연, ‘소닉'은 천재 악당에 맞서 지구를 지킬 수 있을까?",2020-02-12,/pMXOlasWr1IzHGH8HWw1ZTXs6rQ.jpg,7.4,109.509,-Sw5qnQVRIM
39,극장판 소드 아트 온라인 -프로그레시브- 짙은 어둠의 스케르초,"세계 최초의 VRMMORPG <소드 아트 온라인>이 데스 게임으로 변하면서, 1만 명의 플레이어들이 게임 세계에 갇혀 버린 이후, 이미 한 달 이상이 경과했다. 강철의 부유성 '아인크라드' 제1층을 공략한 아스나는 키리토와 콤비를 맺고 최상층을 목표로 여행을 이어가고 있었다. 정보상 아르고의 협력도 더해져서, 공략은 순조롭게 진행되는 것 같았지만... '아인크라드' 공략을 선도하는 2대 길드의 대립이 발생하고, 새로운 위협이 아스나와 키리토를 끌어들이기 시작한다.",2022-10-22,/rBLtRrK0927raJsWZu4Ip3wQuaH.jpg,6.9,119.382,8ZbfktN5KSY
40,드래곤볼 Z - 부활의 'F',"파괴의 신 비루스와의 대결이 끝나고, 평화를 찾은 지구에 프리저군의 생존자들이 프리저를 부활시키기 위해 몰래 잠입, 드래곤볼 7개를 모두 모으는데 성공한다. 이를 이용해 부활한 프리저는 손오공을 비롯한 사이어인에 대한 복수를 위해 수 많은 병사를 이끌고 지구를 침략하고, 손오반과 피콜로, 크리링 등은 이에 맞서 싸우지만 더욱 강해진 프리저의 파워 앞에 속수무책으로 당하고 만다. 한편, 비루스의 별에서 수련중이던 손오공과 베지터는 뒤늦게 프리저의 부활 소식을 듣게되는데…  끝없이 강해지고 싶은 손오공과 지옥에서 부활한 프리저!  다시 한번 최악의 위기에 직면한 지구의 운명은 과연?!",2015-04-18,/e6kmwINMGyPNxuoZyjIlhiXyYGH.jpg,6.8,82.497,uRlSMA1XKYA
41,블랙 위도우,"어벤져스 멤버들이 뿔뿔이 흩어지고 혼자가 된 어벤져스의 히어로 블랙 위도우는  20년 전 헤어진 여동생 옐레나와 재회하는데, 이 과정에서 사라진 줄 알았던 레드룸이 아직도 실재한다는 사실을 알게 된다. 레드룸은 두 사람을 암살자로 만든 소비에트연방의 훈련기관. 두 사람은 레드룸을 없애고 지배받는 여성들을 구하기로 의기투합한다. 상대의 능력을 복제하는 빌런 태스크마스터와 새로운 위도우들의 위협에 맞서 목숨을 건 반격을 시작하는 나타샤는 스파이로 활약했던 자신의 과거 뿐 아니라, 어벤져스가 되기 전 함께했던 동료들을 마주해야만 하는데...",2021-07-07,/oPMAUqhwQf9mLCU5xEGPv33lAJO.jpg,7.3,88.84,qZ9SWtg02H4
42,매트릭스: 리저렉션,"토마스 앤더슨은 자신의 현실이 물리적 구성개념인지 아니면 정신적 구성개념인지 알아내기 위해 이번에도 흰 토끼를 따라가야 한다. 토마스, 아니 네오가 배운 게 있다면 비록 환상이라 할지라도 선택이야말로 매트릭스를 탈출할 유일한 길이라는 것이다. 물론 네오는 무엇을 해야 할지 이미 알고 있다. 그가 아직 모르는 사실은 이 새로운 버전의 매트릭스가 그 어느 때보다도 강력하고, 확고부동하고, 위험하다는 것이다.  평범한 일상과 그 이면에 놓여 있는 또 다른 세계, 두 개의 현실이 존재하는 세상에서 운명처럼 인류를 위해 다시 깨어난 구원자 네오. 빨간 약과 파란 약 중 어떤 것을 선택할 것인가?",2021-12-16,/AvWlbyLk32HdvSrrSTYpjmXHEXC.jpg,6.5,80.088,jRZ5V812OZo
43,투모로우 워,현재로 긴급 메시지를 전하기 위해 2051년에서 온 한 무리의 시간 여행자들이 도착한다. 메세지의 내용은 30년 동안 미래 인류가 치명적인 외계 종족과 세계 전쟁에서 지고 있다는 것. 인류가 생존할 수 있는 유일한 희망은 현재 세계의 군인과 민간인들이 미래로 보내서 전쟁에 참여하는 것이다. 어린 딸을 위해 세상을 구하기로 결심한 댄 포레스터는 지구의 운명을 다시 쓰기 위해 뛰어난 과학자와 사이가 멀어진 아버지와 함께 팀을 이룬다.,2021-09-03,/34nDCQZwaEvsy4CFO5hkGRFDCVU.jpg,7.5,85.809,9QwFu2Pb6TE
44,매트릭스,"인간의 기억마저 AI에 의해 입력되고 삭제되는 세상, 진짜보다 더 진짜 같은 가상 현실 매트릭스. 그 속에서 진정한 현실을 인식할 수 없게 재배되는 인간들. 그 매트릭스를 빠져 나오면서 AI에게 가장 위험한 인물이 된 모피어스는 몇 안 되는 동료들과 함께 기계와의 전쟁 전후의의 폐허를 떠돌며 인류를 구할 마지막 영웅을 찾아 헤맨다. 마침내 모피어스는 낮에는 평범한 회사원 앤더슨으로, 밤에는 해커로 활동하는 청년 네오를 그로 지목한다. 모피어스의 지시대로 그를 만나게 된 네오는 두개의 알약 중 하나를 고르는 선택을 하게 되는데...",1999-03-30,/yI9r0iz2XvlevxUzxvdoQmv3yce.jpg,8.2,82.314,0ls4kZG3nxA
